id;house_number;street;post_code;city;district;geojson_geometry;post_station_id
297;1;Triberger Straße;78120;Furtwangen im Schwarzwald;2;{'type': 'Point', 'coordinates': [8.203579, 48.0572352]};1
299;4;Vorderschützenbach;78120;Furtwangen im Schwarzwald;2;{'type': 'Point', 'coordinates': [8.2056174, 48.062438]};1
335;26;Fohrenstraße;78120;Furtwangen im Schwarzwald;2;{'type': 'Point', 'coordinates': [8.2046655, 48.0574234]};1
344;3;In der Wanne;78120;Furtwangen im Schwarzwald;2;{'type': 'Point', 'coordinates': [8.2196671, 48.0588236]};1
355;13;Wendelhofstraße;78120;Furtwangen im Schwarzwald;2;{'type': 'Point', 'coordinates': [8.209354, 48.0659724]};1
625;3;Triberger Straße;78120;Furtwangen im Schwarzwald;2;{'type': 'LineString', 'coordinates': [[8.2031353, 48.0581055], [8.2043978, 48.0582984], [8.2043665, 48.0579195], [8.2043039, 48.0577243], [8.204203, 48.0575825], [8.2040639, 48.0574453], [8.2038865, 48.0575011], [8.203591, 48.0575328], [8.2033656, 48.0575245], [8.2032844, 48.0575449], [8.2031137, 48.0580074], [8.2031353, 48.0581055]]};1
626;9;Triberger Straße;78120;Furtwangen im Schwarzwald;2;{'type': 'LineString', 'coordinates': [[8.2046081, 48.0603843], [8.2044867, 48.0597818], [8.2037107, 48.0598526], [8.2038337, 48.0604547], [8.2046081, 48.0603843]]};1
627;13;Triberger Straße;78120;Furtwangen im Schwarzwald;2;{'type': 'LineString', 'coordinates': [[8.2044022, 48.0614064], [8.204394, 48.0612672], [8.2044474, 48.0612657], [8.2045784, 48.0612623], [8.2045867, 48.0614016], [8.2044022, 48.0614064]]};1
917;26;Friedrichstraße;78120;Furtwangen im Schwarzwald;2;{'type': 'LineString', 'coordinates': [[8.203697, 48.0567552], [8.203886, 48.0567864], [8.2039252, 48.0566803], [8.2037362, 48.0566491], [8.203697, 48.0567552]]};1
931;2;Triberger Straße;78120;Furtwangen im Schwarzwald;2;{'type': 'LineString', 'coordinates': [[8.2037828, 48.0569541], [8.2036996, 48.0570181], [8.203968, 48.0571741], [8.2040512, 48.0571101], [8.2037828, 48.0569541]]};1
933;18;Friedrichstraße;78120;Furtwangen im Schwarzwald;2;{'type': 'LineString', 'coordinates': [[8.204327, 48.0563247], [8.2044087, 48.0561968], [8.204292, 48.0561635], [8.2042103, 48.0562914], [8.204327, 48.0563247]]};1
936;43;Friedrichstraße;78120;Furtwangen im Schwarzwald;2;{'type': 'LineString', 'coordinates': [[8.2034573, 48.0567438], [8.2035039, 48.0566487], [8.2033777, 48.056621], [8.203331, 48.0567161], [8.2034573, 48.0567438]]};1
938;22;Friedrichstraße;78120;Furtwangen im Schwarzwald;2;{'type': 'LineString', 'coordinates': [[8.203858, 48.0563902], [8.204033, 48.0564261], [8.2040775, 48.0563292], [8.2039025, 48.0562933], [8.203858, 48.0563902]]};1
